incident_id,district,police_division,crime_type,date,day_of_week,is_holiday,time_bracket,location_type,lighting_level,victim_gender,victim_age_bracket,prior_offenses,offender_drug_history,reported_2015_total,solved_2015_total,cleared_rate_pct,reported_status,referral_source
2015-COL-001,Colombo,Colombo South,Homicide,1/8/2015,Thursday,Yes,Night,Public Space,Poorly-lit,Male,35-45,0,No,568,540,95,Solved,Police
2015-COL-002,Colombo,Nugegoda,House Breaking,4/14/2015,Tuesday,Yes,Night,Residential,Dark,Female,45-60,1,No,9245,3050,33,Under Investigation,Police
2015-GAM-001,Gampaha,Kelaniya,Drug Offences (Heroin),2/15/2015,Sunday,No,Morning,Transport Hub,Well-lit,Male,18-24,3,Yes,26145,25000,95,Solved,Police
2015-KAN-001,Kandy,Kandy Central,Robbery,8/10/2015,Monday,No,Evening,Commercial,Well-lit,Male,25-35,2,No,3542,2300,65,Solved,Self-Reported
2015-KAL-001,Kalutara,Panadura,Grievous Hurt,3/22/2015,Sunday,No,Evening,Public Space,Poorly-lit,Male,25-35,1,No,1410,1290,91,Solved,Hospital
2015-GAL-001,Galle,Galle City,Property Theft,6/12/2015,Friday,No,Afternoon,Commercial,Well-lit,Female,25-35,1,No,6402,3400,53,Solved,Police
2015-JAF-001,Jaffna,Jaffna,Drug Offences (Cannabis),8/5/2015,Wednesday,No,Morning,Coastal Area,Well-lit,Male,25-35,2,Yes,49540,47000,94,Solved,Police
2015-KUR-001,Kurunegala,Kuliyapitiya,Cattle Theft,10/15/2015,Thursday,No,Night,Agricultural,Dark,Male,45-60,4,No,984,816,83,Under Investigation,Self-Reported
2015-RAT-001,Ratnapura,Ratnapura,Arson,5/10/2015,Sunday,No,Night,Residential,Poorly-lit,Male,35-45,0,No,310,120,38,Solved,Police
2015-ANU-001,Anuradhapura,Anuradhapura,Mischief,1/22/2015,Thursday,No,Morning,Public Space,Well-lit,Female,25-35,1,No,345,198,57,Solved,NGO
2015-COL-003,Colombo,Colombo North,Homicide,8/17/2015,Monday,Yes,Night,Residential,Dark,Male,60+,0,No,568,540,95,Solved,Police
2015-GAM-002,Gampaha,Wattala,Property Theft,11/30/2015,Monday,No,Afternoon,Transport Hub,Well-lit,Male,18-24,3,Yes,6402,3400,53,Solved,Police
2015-KAN-002,Kandy,Gampola,House Breaking,1/10/2015,Saturday,No,Night,Residential,Dark,Male,35-45,0,No,9245,3050,33,Under Investigation,Police
2015-GAL-002,Galle,Hikkaduwa,Robbery,7/9/2015,Thursday,No,Evening,Public Space,Well-lit,Female,18-24,1,No,3542,2300,65,Solved,Police
2015-JAF-002,Jaffna,Chavakachcheri,House Breaking,4/14/2015,Tuesday,Yes,Night,Residential,Dark,Male,45-60,0,No,9245,3050,33,Solved,Police
2015-KUR-002,Kurunegala,Kurunegala,Cheating/BCT,5/25/2015,Monday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2615,1700,65,Solved,Self-Reported
2015-RAT-002,Ratnapura,Ratnapura,Drug Offences (Heroin),9/14/2015,Monday,No,Afternoon,Coastal Area,Well-lit,Male,18-24,3,Yes,26145,25000,95,Solved,Police
2015-ANU-002,Anuradhapura,Kekirawa,Robbery,3/28/2015,Saturday,No,Evening,Commercial,Well-lit,Female,18-24,1,No,3542,2300,65,Solved,Police
2015-BAT-001,Batticaloa,Batticaloa,House Breaking,10/10/2015,Saturday,No,Night,Residential,Dark,Male,45-60,0,No,9245,3050,33,Under Investigation,Police
2015-MAT-001,Matara,Weligama,Property Theft,8/25/2015,Tuesday,No,Afternoon,Commercial,Well-lit,Male,25-35,1,No,6402,3400,53,Solved,Police
2015-BAD-001,Badulla,Bandarawela,Drug Offences (Cannabis),2/22/2015,Sunday,No,Afternoon,Transport Hub,Well-lit,Male,18-24,2,Yes,49540,47000,94,Solved,Police
2015-PUT-001,Puttalam,Marawila,Robbery,3/30/2015,Monday,No,Night,Residential,Dark,Male,35-45,2,No,3542,2300,65,Solved,Police
2015-COL-004,Colombo,Nugegoda,Homicide,5/12/2015,Tuesday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,568,540,95,Solved,Police
2015-GAM-003,Gampaha,Negombo,Drug Offences (Heroin),1/25/2015,Sunday,No,Morning,Coastal Area,Well-lit,Male,18-24,3,Yes,26145,25000,95,Solved,Police
2015-KAN-003,Kandy,Kandy Central,House Breaking,10/20/2015,Tuesday,No,Night,Residential,Dark,Female,45-60,1,No,9245,3050,33,Solved,Police
2015-KAL-002,Kalutara,Kalutara,Cheating/BCT,6/25/2015,Thursday,No,Morning,Commercial,Well-lit,Male,45-60,0,No,2615,1700,65,Solved,Self-Reported
2015-GAL-003,Galle,Galle City,Drug Offences (Heroin),9/22/2015,Tuesday,No,Afternoon,Transport Hub,Well-lit,Male,18-24,2,Yes,26145,25000,95,Solved,Police
2015-JAF-003,Jaffna,Jaffna,Robbery,3/30/2015,Monday,No,Evening,Commercial,Well-lit,Female,18-24,1,No,3542,2300,65,Solved,Police
2015-KUR-003,Kurunegala,Kuliyapitiya,House Breaking,10/25/2015,Sunday,No,Night,Residential,Dark,Male,45-60,0,No,9245,3050,33,Under Investigation,Police
2015-RAT-003,Ratnapura,Embilipitiya,Drug Offences (Heroin),1/28/2015,Wednesday,No,Morning,Transport Hub,Well-lit,Male,18-24,1,Yes,26145,25000,95,Solved,Police
2015-ANU-003,Anuradhapura,Anuradhapura,House Breaking,4/12/2015,Sunday,No,Night,Residential,Dark,Female,45-60,0,No,9245,3050,33,Solved,Police
2015-BAT-002,Batticaloa,Kalkudah,Robbery,3/8/2015,Sunday,No,Evening,Commercial,Well-lit,Male,25-35,2,No,3542,2300,65,Under Investigation,Self-Reported
2015-MAT-002,Matara,Matara,Cheating/BCT,4/14/2015,Tuesday,Yes,Morning,Commercial,Well-lit,Female,60+,1,No,2615,1700,65,Solved,Self-Reported
2015-BAD-002,Badulla,Badulla,Property Theft,6/15/2015,Monday,No,Morning,Public Space,Well-lit,Male,35-45,1,No,6402,3400,53,Solved,Police
